Masa_Corporal,Longitud_Aleta
3900,186
3800,195
4250,205
3450,190
3650,195
3600,190
4725,214
5400,221
3400,181
4600,212
3200,186
3800,193
4300,201
4100,196
3950,195
5350,225
4000,130
4500,210
3350,184
3550,191
4150,198
3750,192
4800,215
5200,220
3300,185
3700,190
4400,208
4200,275
4050,197
3850,194
5500,223
4650,213
3150,182
3650,189
4350,206
4250,200
3900,191
5100,218
4950,216
3400,186
3750,193
4550,211
4050,195
3800,188
5600,228
4700,214
3500,187
3950,196
4150,125
5050,217